Member State,Electricity,Petrol 95 E10,Diesel B7,CNG,LPG,Hydrogen
Belgium,4.60 €,10.10 €,8.80 €,6.40 €,4.90 €,9.00 €
Cyprus,3.83 €,9.88 €,8.58 €,n.a.,n.a.,n.a.
Denmark,8.59 €,10.76 €,8.27 €,n.a.,n.a.,13.45 €
Finland,3.96 €,10.75 €,10.90 €,7.21 €,6.48 €*,n.a.
France,2.90 €,9.30 €,7.00 €,6.00 €,6.60 €,11.30 €
Germany,5.84 €,11.74 €,9.05 €,6.48 €,6.63 €,7.6 €
Italy,n.a.,10.66 €,7.91 €,7.46 €,6.10 €,n.a.
Luxembourg,3.12 €,9.76 €,8.78 €,6.31 €,6.28 €,n.a.
Netherlands,5.31 €,12.32 €,8.66 €,7.52 €,7.78 €,10.89 €
Norway,n.a.,12.86 €,9.70 €,n.a.,n.a.,n.a.
Poland,5.31 €,8.63 €,6.71 €,5.23 €,4.70 €,n.a.
Sweden,3.48 €,12.54 €,13.06 €,12.51 €,n.a.,15.06 €
