COUNTRY,BATTERY ELECTRIC,PLUG-IN HYBRID,HYBRID ELECTRIC,OTHERS,PETROL,DIESEL,TOTAL2023,Electricity,Petrol 95 E10,Diesel B7,CNG,LPG,Hydrogen
Belgium,"93,285","100,308","36,781","3,593","200,994","41,714","476,675",4.6,10.1,8.8,6.4,4.9,9
Cyprus,788.00,511.00,5633.00,0.00,7360.00,448.00,14740.00,3.83,9.88,8.58,NaN,NaN,NaN
Denmark,62759.00,17283.00,30266.00,1.00,54357.00,8132.00,172798.00,8.59,10.76,8.27,NaN,NaN,13.45
Finland,29535.00,18087.00,22376.00,470.00,12910.00,4124.00,87502.00,3.96,10.75,10.9,7.21,6.48,NaN
France,298219.00,162950.00,432299.00,67945.00,641582.00,171728.00,1774723.00,2.9,9.3,7,6,6.6,11.3
Germany,524219.00,175724.00,664580.00,14845.00,978660.00,486581.00,2844609.00,5.84,11.74,9.05,6.48,6.63,7.6
Italy,66265.00,69008.00,565551.00,143914.00,447298.00,273295.00,1565331.00,NaN,10.66,7.91,7.46,6.1,NaN
Luxembourg,11052.00,4804.00,9471.00,0.00,16344.00,7480.00,49151.00,3.12,9.76,8.78,6.31,6.28,NaN
Netherlands,113981.00,47082.00,90070.00,2401.00,112291.00,3966.00,369791.00,5.31,12.32,8.66,7.52,7.78,10.89
Poland,17078.00,13171.00,187293.00,12596.00,198064.00,46830.00,475032.00,NaN,12.86,9.7,NaN,NaN,NaN
Sweden,112208.00,61024.00,23575.00,6788.00,62401.00,23831.00,289827.00,5.31,8.63,6.71,5.23,4.7,NaN
Norway,104587.00,10170.00,7584.00,2.00,1493.00,3119.00,126955.00,3.48,12.54,13.06,12.51,NaN,15.06
